frame.number,frame.time_relative,ip.src,ip.dst,ip.hdr_len,ip.len,ip.id,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.proto,icmp.type,icmp.code
"29","2.783152400","10.21.225.70","10.21.128.1","20","1500","0x299e","False","True","0","1",,
"30","2.783152400","10.21.225.70","10.21.128.1","20","1500","0x299e","False","True","185","1",,
"31","2.783152400","10.21.225.70","10.21.128.1","20","1500","0x299e","False","True","370","1",,
"32","2.783152400","10.21.225.70","10.21.128.1","20","1500","0x299e","False","True","555","1",,
"33","2.783152400","10.21.225.70","10.21.128.1","20","1500","0x299e","False","True","740","1",,
"34","2.783152400","10.21.225.70","10.21.128.1","20","628","0x299e","False","False","925","1","8","0"
"35","2.787604900","10.21.128.1","10.21.225.70","20","1500","0x82f8","False","True","0","1",,
"36","2.787606700","10.21.128.1","10.21.225.70","20","1500","0x82f8","False","True","185","1",,
"37","2.787607400","10.21.128.1","10.21.225.70","20","1500","0x82f8","False","True","370","1",,
"38","2.787608300","10.21.128.1","10.21.225.70","20","1500","0x82f8","False","True","555","1",,
"39","2.787609000","10.21.128.1","10.21.225.70","20","1500","0x82f8","False","True","740","1",,
"40","2.787616200","10.21.128.1","10.21.225.70","20","628","0x82f8","False","False","925","1","0","0"
