frame.number,frame.time_relative,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.stream,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.seq,tcp.ack,tcp.len
"1","0.000000000","10.21.225.70","60471","14.17.27.213","80","0","0x0002","True","False","False","False","0","0","0"
"2","0.046508200","14.17.27.213","80","10.21.225.70","60471","0","0x0012","True","True","False","False","0","1","0"
"3","0.046673200","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","1","1","0"
"4","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","1","1","1382"
"5","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","1383","1","1382"
"6","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0018","False","True","False","False","2765","1","1155"
"7","0.089052800","14.17.27.213","80","10.21.225.70","60471","0","0x0010","False","True","False","False","1","3920","0"
"8","0.103899400","14.17.27.213","80","10.21.225.70","60471","0","0x0018","False","True","False","False","1","3920","343"
"9","0.154737100","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","3920","344","0"
"10","0.654826000","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","1","1","391"
"11","0.705968500","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","1","392","0"
"12","0.728941700","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","1","392","383"
"13","0.776445300","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","392","384","0"
"14","5.098202900","14.17.27.213","80","10.21.225.70","60471","0","0x0011","False","True","True","False","344","3920","0"
"15","5.098279300","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","3920","345","0"
"16","13.759490700","10.21.225.70","60497","104.20.23.154","80","2","0x0002","True","False","False","False","0","0","0"
"17","13.800060500","104.20.23.154","80","10.21.225.70","60497","2","0x0012","True","True","False","False","0","1","0"
"18","13.800163300","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","1","1","0"
"19","13.802750300","10.21.225.70","60497","104.20.23.154","80","2","0x0018","False","True","False","False","1","1","94"
"20","13.845081200","104.20.23.154","80","10.21.225.70","60497","2","0x0010","False","True","False","False","1","95","0"
"21","13.847760100","104.20.23.154","80","10.21.225.70","60497","2","0x0018","False","True","False","False","1","95","863"
"22","13.847760700","104.20.23.154","80","10.21.225.70","60497","2","0x0018","False","True","False","False","864","95","5"
"23","13.847814200","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","95","869","0"
"24","13.849259800","104.20.23.154","80","10.21.225.70","60497","2","0x0011","False","True","True","False","869","95","0"
"25","13.849294000","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","95","870","0"
"26","13.866547100","10.21.225.70","60497","104.20.23.154","80","2","0x0011","False","True","True","False","95","870","0"
"27","13.923362900","104.20.23.154","80","10.21.225.70","60497","2","0x0010","False","True","False","False","870","96","0"
"28","28.532087100","10.21.225.70","57664","221.238.41.33","80","3","0x0002","True","False","False","False","0","0","0"
"29","28.541210300","221.238.41.33","80","10.21.225.70","57664","3","0x0012","True","True","False","False","0","1","0"
"30","28.541288700","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","1","1","0"
"31","28.541387400","10.21.225.70","57664","221.238.41.33","80","3","0x0018","False","True","False","False","1","1","433"
"32","28.550824500","221.238.41.33","80","10.21.225.70","57664","3","0x0010","False","True","False","False","1","434","0"
"33","28.550825600","221.238.41.33","80","10.21.225.70","57664","3","0x0018","False","True","False","False","1","434","282"
"34","28.550875600","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","434","283","0"
"35","58.331480700","221.238.41.33","80","10.21.225.70","57664","3","0x0011","False","True","True","False","283","434","0"
"36","58.331534300","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","434","284","0"
"37","60.671991700","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","392","384","391"
"38","60.756314200","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","384","783","0"
"39","60.758489100","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","384","783","383"
"40","60.806990300","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","783","767","0"
"41","66.274480700","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","767","783","41"
"42","66.276480600","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","783","808","391"
"43","66.319299300","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","808","1174","0"
"44","66.349770400","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","808","1174","1359"
"45","66.396524000","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","1174","2167","0"
