frame.number,frame.time_relative,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.stream,tcp.flags,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.seq,tcp.ack,tcp.len
"1","0.000000000","10.21.225.70","60471","14.17.27.213","80","0","0x0002","True","False","False","False","311809796","0","0"
"2","0.046508200","14.17.27.213","80","10.21.225.70","60471","0","0x0012","True","True","False","False","653590715","311809797","0"
"3","0.046673200","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","311809797","653590716","0"
"4","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","311809797","653590716","1382"
"5","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","311811179","653590716","1382"
"6","0.047287400","10.21.225.70","60471","14.17.27.213","80","0","0x0018","False","True","False","False","311812561","653590716","1155"
"7","0.089052800","14.17.27.213","80","10.21.225.70","60471","0","0x0010","False","True","False","False","653590716","311813716","0"
"8","0.103899400","14.17.27.213","80","10.21.225.70","60471","0","0x0018","False","True","False","False","653590716","311813716","343"
"9","0.154737100","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","311813716","653591059","0"
"10","0.654826000","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","461548589","2497446729","391"
"11","0.705968500","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","2497446729","461548980","0"
"12","0.728941700","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","2497446729","461548980","383"
"13","0.776445300","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","461548980","2497447112","0"
"14","5.098202900","14.17.27.213","80","10.21.225.70","60471","0","0x0011","False","True","True","False","653591059","311813716","0"
"15","5.098279300","10.21.225.70","60471","14.17.27.213","80","0","0x0010","False","True","False","False","311813716","653591060","0"
"16","13.759490700","10.21.225.70","60497","104.20.23.154","80","2","0x0002","True","False","False","False","2115761771","0","0"
"17","13.800060500","104.20.23.154","80","10.21.225.70","60497","2","0x0012","True","True","False","False","4262144966","2115761772","0"
"18","13.800163300","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","2115761772","4262144967","0"
"19","13.802750300","10.21.225.70","60497","104.20.23.154","80","2","0x0018","False","True","False","False","2115761772","4262144967","94"
"20","13.845081200","104.20.23.154","80","10.21.225.70","60497","2","0x0010","False","True","False","False","4262144967","2115761866","0"
"21","13.847760100","104.20.23.154","80","10.21.225.70","60497","2","0x0018","False","True","False","False","4262144967","2115761866","863"
"22","13.847760700","104.20.23.154","80","10.21.225.70","60497","2","0x0018","False","True","False","False","4262145830","2115761866","5"
"23","13.847814200","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","2115761866","4262145835","0"
"24","13.849259800","104.20.23.154","80","10.21.225.70","60497","2","0x0011","False","True","True","False","4262145835","2115761866","0"
"25","13.849294000","10.21.225.70","60497","104.20.23.154","80","2","0x0010","False","True","False","False","2115761866","4262145836","0"
"26","13.866547100","10.21.225.70","60497","104.20.23.154","80","2","0x0011","False","True","True","False","2115761866","4262145836","0"
"27","13.923362900","104.20.23.154","80","10.21.225.70","60497","2","0x0010","False","True","False","False","4262145836","2115761867","0"
"28","28.532087100","10.21.225.70","57664","221.238.41.33","80","3","0x0002","True","False","False","False","387246439","0","0"
"29","28.541210300","221.238.41.33","80","10.21.225.70","57664","3","0x0012","True","True","False","False","450391450","387246440","0"
"30","28.541288700","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","387246440","450391451","0"
"31","28.541387400","10.21.225.70","57664","221.238.41.33","80","3","0x0018","False","True","False","False","387246440","450391451","433"
"32","28.550824500","221.238.41.33","80","10.21.225.70","57664","3","0x0010","False","True","False","False","450391451","387246873","0"
"33","28.550825600","221.238.41.33","80","10.21.225.70","57664","3","0x0018","False","True","False","False","450391451","387246873","282"
"34","28.550875600","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","387246873","450391733","0"
"35","58.331480700","221.238.41.33","80","10.21.225.70","57664","3","0x0011","False","True","True","False","450391733","387246873","0"
"36","58.331534300","10.21.225.70","57664","221.238.41.33","80","3","0x0010","False","True","False","False","387246873","450391734","0"
"37","60.671991700","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","461548980","2497447112","391"
"38","60.756314200","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","2497447112","461549371","0"
"39","60.758489100","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","2497447112","461549371","383"
"40","60.806990300","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","461549371","2497447495","0"
"41","66.274480700","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","2497447495","461549371","41"
"42","66.276480600","10.21.225.70","57615","14.116.242.250","80","1","0x0018","False","True","False","False","461549371","2497447536","391"
"43","66.319299300","14.116.242.250","80","10.21.225.70","57615","1","0x0010","False","True","False","False","2497447536","461549762","0"
"44","66.349770400","14.116.242.250","80","10.21.225.70","57615","1","0x0018","False","True","False","False","2497447536","461549762","1359"
"45","66.396524000","10.21.225.70","57615","14.116.242.250","80","1","0x0010","False","True","False","False","461549762","2497448895","0"
